,phenotype_1,phenotype_2,correlation
11,Phenotype_C,Phenotype_E,0.6772729009405332
18,Phenotype_E,Phenotype_C,0.6772729009405332
5,Phenotype_B,Phenotype_C,0.6769169696785748
9,Phenotype_C,Phenotype_B,0.6769169696785748
6,Phenotype_B,Phenotype_D,0.648069176863039
13,Phenotype_D,Phenotype_B,0.648069176863039
10,Phenotype_C,Phenotype_D,0.4125419372658801
14,Phenotype_D,Phenotype_C,0.4125419372658801
17,Phenotype_E,Phenotype_B,0.4023657821986131
7,Phenotype_B,Phenotype_E,0.4023657821986131
15,Phenotype_D,Phenotype_E,0.2647026613552142
19,Phenotype_E,Phenotype_D,0.2647026613552142
16,Phenotype_E,Phenotype_A,-0.3118753006770084
3,Phenotype_A,Phenotype_E,-0.3118753006770084
1,Phenotype_A,Phenotype_C,-0.5962069494484508
8,Phenotype_C,Phenotype_A,-0.5962069494484508
4,Phenotype_B,Phenotype_A,-0.6596799412335914
0,Phenotype_A,Phenotype_B,-0.6596799412335914
12,Phenotype_D,Phenotype_A,-0.7230424691160309
2,Phenotype_A,Phenotype_D,-0.7230424691160309
